xpos,ypos,pred,target,type,match_idx
0.30349,0.11053,6,6,0,0
0.39810,0.35357,6,0,0,1
0.18062,0.38842,2,2,0,2
0.14579,0.50330,0,0,0,3
0.25241,0.27192,6,2,0,4
0.09026,0.63460,2,1,0,5
0.28039,0.62319,4,5,0,6
0.51533,0.37112,3,3,0,7
0.40225,0.49701,3,3,0,8
0.36559,0.19807,6,6,0,9
0.23262,0.25619,6,6,0,10
0.25341,0.38666,6,2,0,11
0.16504,0.59086,1,2,0,12
0.55020,0.38041,2,2,0,13
0.07575,0.48453,2,2,0,14
0.16920,0.37395,2,2,0,15
0.23825,0.52835,0,1,0,16
0.34067,0.79883,2,2,0,17
0.54869,0.74818,5,5,0,18
0.27055,0.36852,6,6,0,19
0.43175,0.20721,6,6,0,20
0.37288,0.38735,2,2,0,21
0.10546,0.42361,2,0,0,22
0.30125,0.32740,2,2,0,23
0.50861,0.00000,6,0,0,24
0.45134,0.30359,6,6,0,25
0.19457,0.69642,5,5,0,26
0.16054,0.24721,6,1,0,27
0.33280,0.83956,4,1,0,28
0.14194,0.28544,2,2,0,29
0.23752,0.70600,1,2,0,30
0.51995,0.12928,6,6,0,31
0.22602,0.59577,1,1,0,32
0.26712,0.67150,1,1,0,33
0.33615,0.17821,6,2,0,34
0.27284,0.33003,2,2,0,35
0.24597,0.46438,2,2,0,36
0.42366,0.24683,6,6,0,37
0.15172,0.39839,2,2,0,38
0.28724,0.39435,0,1,0,39
0.35890,0.14161,6,6,0,40
0.14927,0.54799,0,0,0,41
0.06472,0.22509,6,6,0,42
0.60077,0.63219,4,3,0,43
0.35813,0.25064,6,6,0,44
0.40625,0.70294,6,3,0,45
0.53320,0.73768,5,5,0,46
0.06931,0.32512,2,2,0,47
0.23369,0.62985,1,1,0,48
0.39338,0.41870,0,2,0,49
0.38879,0.26239,2,2,0,50
0.47497,0.85887,6,2,0,51
0.04285,0.38908,2,2,0,52
0.45059,0.21432,2,6,0,53
0.20314,0.49533,2,5,0,54
0.62354,0.44151,4,2,0,55
0.22365,0.34406,0,6,0,56
0.58226,0.72122,5,5,0,57
0.05015,0.45474,2,2,0,58
0.15021,0.46013,0,0,0,59
0.12193,0.31351,2,2,0,60
0.21713,0.52445,3,1,0,61
0.16618,0.50840,0,0,0,62
0.26887,0.46830,3,2,0,63
0.44447,0.99197,6,6,0,64
0.46124,0.24987,2,2,0,65
0.41823,0.33618,2,6,0,66
0.11691,0.38076,2,6,0,67
0.10993,0.26686,2,2,0,68
0.09557,0.30756,2,2,0,69
0.26325,0.23426,6,6,0,70
0.59839,0.12594,2,2,0,71
0.30321,0.52240,3,3,0,72
0.09400,0.57583,6,0,0,73
0.53004,0.33607,4,2,0,74
0.09894,0.52841,2,0,0,75
0.13074,0.47570,1,1,0,76
0.39182,0.12335,6,6,0,77
0.31741,0.52772,4,3,0,78
0.25276,0.52012,0,0,0,79
0.49443,0.25891,2,2,0,80
0.04364,0.57035,2,2,0,81
0.17698,0.54301,0,0,0,82
0.35939,0.75630,6,6,0,83
0.44451,0.63707,2,1,0,84
0.06175,0.51615,2,0,0,85
0.59533,0.83359,6,6,0,86
0.33225,0.67283,6,2,0,87
0.45734,0.74958,6,6,0,88
0.21873,0.41728,3,6,0,89
0.43207,0.75466,6,0,0,90
0.62756,0.74409,4,5,0,91
0.36217,0.72696,2,2,0,92
0.72678,0.83857,4,6,0,93
0.23375,0.46750,1,1,0,94
0.34245,0.42992,0,2,0,95
0.20201,0.67435,5,5,0,96
0.00792,0.50695,6,6,0,97
0.25181,0.56484,1,1,0,98
0.07457,0.28052,2,2,0,99
0.28103,0.47613,2,2,0,100
0.28436,0.16739,6,0,0,101
0.22669,0.30225,1,1,0,102
0.81865,0.51902,4,4,0,103
0.33244,0.23138,6,6,0,104
0.94282,0.29580,4,4,0,105
0.61091,0.39260,4,4,0,106
0.74844,0.75155,4,4,0,107
0.59653,0.57826,4,4,0,108
0.96226,0.28570,4,4,0,109
0.48249,0.32010,6,4,0,110
0.54460,0.58127,4,4,0,111
0.99195,0.40966,4,4,0,112
0.85633,0.71356,4,4,0,113
0.42134,0.44587,4,4,0,114
0.76456,0.41633,4,4,0,115
0.65163,0.65698,4,4,0,116
0.82447,0.73782,4,4,0,117
0.50106,0.61314,4,1,0,118
0.56690,0.49288,4,4,0,119
0.50599,0.28859,4,4,0,120
0.48235,0.15711,6,4,0,121
0.44716,0.59993,4,4,0,122
0.59156,0.99274,2,6,0,123
0.75879,0.55300,4,4,0,124
0.95158,0.22995,4,4,0,125
0.80366,0.60529,4,4,0,126
0.73343,0.40778,4,4,0,127
0.81278,0.36396,4,4,0,128
0.28103,0.44458,2,4,0,129
0.69499,0.55286,4,4,0,130
0.51480,0.88190,6,4,0,131
0.09960,0.34743,2,2,0,132
0.91048,0.28728,4,4,0,133
0.73797,0.57674,4,4,0,134
0.91629,0.24991,4,4,0,135
0.78767,0.42383,4,4,0,136
0.85747,0.72961,4,4,0,137
0.81847,0.55029,4,4,0,138
0.71546,0.68513,4,4,0,139
0.12978,0.58044,0,0,0,140
0.35960,0.53460,4,4,0,141
0.88455,0.33497,4,4,0,142
0.92075,0.15362,4,4,0,143
0.25523,0.49731,1,1,0,144
0.90195,0.23150,4,4,0,145
0.00631,0.39962,6,4,0,146
0.24769,0.35232,0,1,0,147
0.55300,0.33173,2,4,0,148
0.77189,0.48097,4,4,0,149
0.75594,0.77430,4,4,0,150
0.65456,0.08847,4,4,0,151
0.77011,0.53723,4,4,0,152
0.83038,0.56006,4,4,0,153
0.74955,0.73079,4,4,0,154
0.44183,0.56655,4,4,0,155
0.74310,0.78190,4,4,0,156
0.79476,0.33386,4,4,0,157
0.89859,0.14900,4,4,0,158
0.90593,0.50342,4,4,0,159
0.42886,0.53605,4,4,0,160
0.71615,0.20911,4,4,0,161
0.96166,0.42185,4,4,0,162
0.51788,0.27735,6,4,0,163
0.14436,0.32665,2,2,0,164
0.84361,0.35555,4,4,0,165
0.47325,0.83009,4,4,0,166
0.85778,0.80830,4,4,0,167
0.61004,0.66860,4,4,0,168
0.94542,0.23841,4,4,0,169
0.93298,0.44463,4,4,0,170
0.74735,0.72515,4,4,0,171
0.19922,0.23561,6,2,0,172
0.17691,0.34705,2,2,0,173
0.58650,0.75036,4,4,0,174
0.85346,0.58315,4,4,0,175
0.76650,0.85142,4,4,0,176
0.23640,0.43906,0,0,0,177
0.65416,0.83670,4,4,0,178
0.77440,0.27086,4,4,0,179
0.27557,0.56231,1,1,0,180
0.05198,0.32001,2,2,0,181
0.69591,0.58984,4,4,0,182
0.92289,0.12294,4,4,0,183
0.97713,0.31237,4,4,0,184
0.94918,0.35701,4,4,0,185
0.00896,0.34180,2,0,0,186
0.22263,0.76756,4,4,0,187
0.80949,0.40217,4,4,0,188
0.32147,0.57686,0,2,0,189
0.94657,0.39753,4,4,0,190
0.81212,0.69349,4,4,0,191
0.88488,0.63665,4,4,0,192
0.97471,0.27090,4,4,0,193
0.57643,0.36262,4,4,0,194
0.29005,0.65342,1,0,0,195
0.84012,0.51652,4,4,0,196
